groupe,groupeAbrev,couleur
La France insoumise - Nouveau Front Populaire,LFI-NFP,#cc2443
Gauche Démocrate et Républicaine,GDR,#dd0000
Écologiste et Social,ECOS,#00c000
Socialistes et apparentés,SOC,#ff8080
"Libertés, Indépendants, Outre-mer et Territoires",LIOT,#e1a5e1
Sénat,SEN,#666666
Les Démocrates,DEM,#ff9900
Ensemble pour la République,EPR,#ffeb00
Horizons & Indépendants,HOR,#0001B8
Droite Républicaine,DR,#0066cc
Union des droites pour la République,UDDPLR,#162561
Rassemblement National,RN,#0D378A
Non-inscrits,NI,#888888
